Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Temperature_C,Humidity_Percent,Soil_Type,Soil_pH,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Soil_Moisture_Percent,Irrigation_Type,Crop_Variety,Sowing_Month,Harvest_Month,Growing_Days,Soil_Fertility_Index,Pest_Risk_Index,Disease_Risk_Index,Water_Availability_Index,Weather_Stress_Index,Crop_Health_Index
Sesamum,2012,Kharif,Punjab,5400.0,1900,338.9,814320.0,1674.0,0.325555556,30.0,54.7,Sandy Loam,6.5,181.8,72.2,86.5,24.6,Rainfed,Local,June,September,88,50.2,17.5,36.1,0.6,15.4,32.9
Maize,2017,Kharif,Uttarakhand,20806.0,42563,1475.8,3275696.64,7906.28,1.868461538,26.1,73.5,Loamy,6.89,209.9,79.7,103.8,74.5,Borewell,HQPM,July,October,97,75.6,44.4,42.5,64.2,0.0,69.7
Potato,2015,Kharif,Andhra Pradesh,574.0,7851,940.7,90640.34,189.42,7.96,23.0,71.4,Black,7.2,208.9,73.0,124.8,56.2,Canal,Kufri Bahar,June,October,111,65.4,20.9,44.8,41.3,51.3,51.2
Arecanut,2015,Kharif,Andhra Pradesh,516.0,1795,940.7,81481.56,170.28,3.32,29.1,71.8,Alluvial,6.67,219.2,74.3,111.3,51.8,Flood,Mangala,July,July,355,68.8,35.8,48.3,44.6,20.9,70.1
Moong(Green Gram),2017,Summer,Odisha,127403.0,57568,1344.4,20058328.32,48413.14,0.444814815,31.1,75.1,Sandy Loam,6.77,162.3,83.1,72.6,42.2,Rainfed,Improved,March,May,61,59.2,8.0,40.6,40.6,23.5,66.1
Sesamum,2015,Kharif,Uttar Pradesh,545983.0,165537,596.7,86216175.53,180174.39,0.253150685,29.6,60.4,Red,6.49,172.2,79.8,104.8,37.9,Drip,Hybrid,June,September,94,59.4,35.3,21.9,21.3,9.7,52.9
Moong(Green Gram),2017,Kharif,Chhattisgarh,8394.0,4072,1124.5,1321551.36,3189.72,0.413076923,30.1,63.6,Laterite,6.08,207.9,70.7,89.8,36.6,Rainfed,Local,June,August,68,51.7,22.8,34.4,19.1,6.9,48.6
Maize,2016,Rabi,Gujarat,117169.0,277521,710.5,17956149.25,41009.15,2.16,21.8,38.5,Sandy Loam,6.52,175.9,59.4,88.9,44.2,Borewell,HYV,November,February,103,66.2,10.8,2.2,36.3,55.7,58.0
Potato,2008,Whole Year,Madhya Pradesh,56301.0,649826,895.0,8053295.04,5067.09,11.0325,21.7,42.0,Black,8.1,150.8,61.0,59.8,51.0,Borewell,Local,February,June,109,48.8,22.9,39.0,42.4,35.8,47.7
Moong(Green Gram),2019,Kharif,Tripura,2262.0,1462,2252.8,388521.12,836.94,0.63875,28.2,95.0,Sandy Loam,6.06,255.5,77.1,107.1,56.2,Rainfed,High Yielding Variety,June,August,71,74.9,14.2,38.6,49.4,22.4,62.6
Urad,2013,Kharif,Punjab,2200.0,1050,586.6,317878.0,594.0,0.464,28.0,53.0,Alluvial,6.59,236.3,71.7,85.4,46.9,Canal,Hybrid,May,August,80,77.9,16.5,19.1,36.7,21.6,66.7
Sesamum,2016,Rabi,Meghalaya,2363.0,2193,3837.1,362129.75,827.05,1.035454545,19.8,88.9,Sandy Loam,7.1,206.5,65.6,85.1,60.7,Rainfed,Local,December,March,89,49.7,23.6,26.9,61.7,48.3,56.0
Horse-gram,2013,Kharif,Telangana,507.0,315,1348.7,73256.43,136.89,0.61,28.7,70.4,Black,8.34,198.9,67.3,85.1,46.1,Rainfed,Local,July,October,92,50.2,18.9,25.2,17.6,50.0,52.8
Cardamom,2007,Kharif,Nagaland,200.0,100,1769.0,26680.0,32.0,0.4825,24.5,91.8,Loamy,7.02,163.3,53.1,63.8,59.8,Rainfed,Improved,July,July,365,49.6,21.1,44.3,47.9,41.0,73.3
Small millets,2015,Kharif,Bihar,1769.0,1338,874.0,279342.79,583.77,0.818888889,26.4,64.3,Alluvial,7.36,241.3,86.1,111.5,56.2,Borewell,Local,June,September,96,81.0,24.2,29.8,43.8,1.3,64.1
Wheat,2018,Rabi,Madhya Pradesh,7721549.0,25276038,1102.2,1252435248.0,2702542.15,3.141764706,17.1,43.1,Black,7.32,227.4,79.6,97.5,61.3,Canal,HD 2967,October,February,131,64.6,6.9,7.2,52.2,13.1,67.8
Other Kharif pulses,2014,Kharif,Gujarat,10028.0,4600,605.6,1513826.88,3309.24,0.444782609,28.7,53.8,Black,7.82,156.2,71.5,98.6,43.1,Borewell,Improved,May,September,119,53.3,22.6,29.3,20.6,26.1,39.4
Moong(Green Gram),2012,Kharif,Madhya Pradesh,71664.0,26845,1049.5,10806931.2,22215.84,0.39,28.0,61.5,Black,7.83,197.9,62.7,74.5,53.4,Borewell,Local,July,September,70,66.1,16.1,22.8,44.0,12.2,58.6
Jowar,2013,Rabi,Maharashtra,2780700.0,1921500,1409.8,401783343.0,750789.0,0.864166667,25.1,52.3,Laterite,6.3,167.6,37.6,65.9,70.2,Borewell,Hybrid,November,March,118,48.9,18.4,12.0,57.1,31.9,61.5
Wheat,2010,Rabi,Haryana,2503963.0,11578000,639.2,415933293.9,600951.12,4.483333333,16.5,37.2,Sandy Loam,6.42,230.8,76.1,103.4,36.3,Canal,HYV,October,March,138,66.8,21.0,28.0,24.1,32.4,52.6
Other  Rabi pulses,2008,Rabi,Mizoram,1370.0,1848,1912.1,195964.8,123.3,1.504285714,17.2,87.3,Red,6.4,155.8,51.9,78.5,56.6,Rainfed,Improved,December,April,112,56.4,16.5,28.0,46.1,43.6,60.0
Jowar,2009,Rabi,Andhra Pradesh,199858.0,252991,711.0,31141873.56,33975.86,2.016,23.0,52.8,Red,5.93,200.8,69.3,97.7,48.4,Canal,HYV,November,March,117,64.1,33.1,26.8,30.0,49.5,57.2
Other Kharif pulses,2001,Kharif,Sikkim,2860.0,3205,2372.5,292091.8,743.6,1.1075,22.9,91.6,Laterite,5.5,89.1,46.0,29.1,54.7,Rainfed,Local,May,August,91,30.3,23.1,16.8,50.7,37.5,41.3
Mesta,2010,Kharif,Assam,4970.0,25950,2578.5,825566.7,1192.8,4.909130435,30.3,95.0,Alluvial,7.13,241.8,89.3,93.5,73.6,Rainfed,High Yielding Variety,June,October,125,78.5,28.8,26.9,46.4,30.5,67.8
Tobacco,2010,Rabi,Meghalaya,631.0,420,3119.7,104815.41,151.44,0.7475,17.7,84.0,Black,7.79,227.3,82.8,119.1,78.6,Canal,Local,October,February,122,77.0,28.2,23.6,88.8,61.2,79.5
Rice,2019,Winter,West Bengal,4004077.0,11344600,1733.4,687740265.5,1481508.49,2.771363636,24.1,92.0,Alluvial,6.58,232.9,103.2,121.5,64.2,Canal,Hybrid,November,April,137,80.2,39.0,43.0,68.0,54.2,63.8
Rapeseed &Mustard,2000,Rabi,Andhra Pradesh,4482.0,1048,935.6,439997.94,1165.32,0.151538462,19.6,58.3,Black,7.26,135.7,43.6,49.3,41.5,Drip,Local,December,April,125,58.5,15.7,19.7,38.3,16.6,67.5
Onion,2016,Summer,Karnataka,3231.0,47561,1147.2,495150.75,1130.85,14.20695652,25.2,49.3,Loamy,6.8,224.4,70.7,85.7,57.0,Drip,Nasik Red,April,September,145,70.0,36.4,25.9,50.0,42.1,55.3
Rice,2017,Summer,Tripura,72224.0,235115,3326.8,11370946.56,27445.12,3.1475,30.3,72.9,Laterite,6.17,206.9,76.7,68.0,68.2,Rainfed,Local,February,June,125,61.1,17.6,38.2,57.3,25.5,68.4
Urad,1998,Kharif,Bihar,25116.0,18601,1332.5,2481460.8,7283.64,0.751612903,29.6,80.6,Loamy,6.71,118.5,54.3,71.7,59.1,Canal,HYV,June,August,75,50.5,17.7,27.4,64.8,12.8,62.1
Moong(Green Gram),2015,Kharif,Andhra Pradesh,51600.0,18197,940.7,8148156.0,17028.0,0.550769231,28.8,83.0,Black,7.29,206.0,90.8,95.9,36.0,Rainfed,Improved,June,August,69,62.8,44.1,26.9,21.1,3.0,55.5
Mesta,1999,Kharif,West Bengal,8864.0,81720,2318.1,940736.32,2393.28,9.842142857,31.5,92.5,Loamy,7.06,132.0,62.0,62.3,64.1,Rainfed,Local,July,November,117,49.8,17.8,39.0,51.6,31.7,54.7
Linseed,2016,Rabi,Nagaland,5810.0,4710,1959.8,890382.5,2033.5,0.807272727,15.0,83.3,Black,7.72,241.2,83.0,91.5,56.3,Rainfed,Improved,October,February,123,57.5,9.8,31.3,51.7,15.5,61.0
Other  Rabi pulses,1997,Rabi,Haryana,104000.0,78000,661.2,9897680.0,32240.0,0.886153846,15.6,48.3,Sandy Loam,6.18,108.4,30.5,41.3,37.5,Borewell,Local,December,April,114,41.0,12.6,15.4,46.0,47.7,55.9
Arecanut,2006,Rabi,Meghalaya,12081.0,16561,2454.7,1542864.51,2657.82,1.254285714,21.4,80.4,Red,6.2,143.8,48.8,60.9,65.8,Canal,Sumangala,October,October,359,53.2,35.6,50.8,77.4,63.4,58.1
Barley,2011,Rabi,Chhattisgarh,2865.0,2183,1302.7,479944.8,945.45,0.837272727,17.8,57.2,Sandy Loam,6.8,208.3,79.4,98.3,53.1,Borewell,Local,December,April,130,70.3,12.7,18.9,64.8,13.4,74.4
Dry chillies,2004,Rabi,Andhra Pradesh,50419.0,148939,781.8,5462394.46,10587.99,3.148636364,25.7,52.3,Alluvial,6.72,145.2,49.5,71.7,38.3,Rainfed,High Yielding Variety,December,May,155,53.6,25.9,36.4,0.0,34.1,38.4
Maize,2006,Kharif,Manipur,3340.0,8270,1533.561905,426551.4,734.8,2.48,28.4,95.0,Laterite,5.63,119.8,38.9,46.2,62.1,Canal,HYV,July,November,116,43.9,35.6,49.7,66.8,36.9,65.3
Ragi,2018,Kharif,Bihar,2883.0,3088,1521.4,467622.6,1009.05,1.144285714,28.4,75.5,Loamy,7.13,221.6,83.0,96.8,58.2,Rainfed,Local,May,September,113,69.7,20.9,30.7,24.8,20.1,66.5
Jute,2007,Kharif,Meghalaya,3982.0,34877,4702.0,531198.8,637.12,6.446666667,25.8,95.0,Laterite,5.42,118.1,53.7,48.1,83.0,Flood,Improved,June,October,112,46.4,31.5,48.1,87.2,43.1,71.1
Moong(Green Gram),2010,Rabi,Assam,9022.0,4243,2578.5,1498644.42,2165.28,0.451851852,25.0,82.9,Laterite,5.31,214.2,79.2,90.9,75.9,Drip,HYV,November,January,65,60.0,30.7,17.6,67.9,57.3,67.0
Moong(Green Gram),2007,Kharif,Jammu and Kashmir,864.0,421,1042.2,115257.6,138.24,0.504285714,25.3,49.9,Loamy,6.23,191.6,69.1,88.6,62.6,Drip,Local,May,July,68,58.5,18.1,29.9,37.8,47.2,49.0
Rapeseed &Mustard,2015,Rabi,West Bengal,457832.0,490219,1717.0,72296251.12,151084.56,0.887222222,17.7,78.7,Loamy,6.7,191.0,87.0,96.6,73.5,Canal,Pusa Bold,December,April,123,72.6,21.8,18.7,63.6,7.7,79.3
Maize,2007,Kharif,Jammu and Kashmir,302441.0,474484,1042.2,40345629.4,48390.56,1.377,22.6,63.0,Black,8.2,182.4,54.4,66.4,66.3,Canal,Improved,May,August,95,53.4,34.6,29.7,52.8,30.6,60.4
Tobacco,1998,Whole Year,Mizoram,437.0,434,2640.7,43175.6,126.73,0.92,23.2,89.3,Black,7.26,122.1,57.3,53.5,61.8,Rainfed,Virginia,January,June,137,53.4,29.2,42.1,46.8,33.5,50.2
Groundnut,2009,Autumn,West Bengal,2058.0,1886,1317.2,320677.56,349.86,1.015,26.9,85.2,Alluvial,6.93,243.9,72.0,99.6,48.6,Rainfed,Hybrid,August,December,109,63.6,30.5,30.1,28.5,26.5,50.1
Potato,2006,Whole Year,Karnataka,63374.0,561001,1146.3,8093493.54,13942.28,12.976875,22.0,51.5,Laterite,6.15,147.5,42.5,43.2,55.3,Borewell,Local,January,April,104,48.3,31.1,46.6,59.7,36.7,68.2
Gram,2002,Rabi,West Bengal,47538.0,37084,1629.1,4500422.46,11884.5,0.679090909,18.8,76.6,Alluvial,6.64,141.2,45.1,55.5,74.5,Canal,Local,November,February,95,55.9,18.0,40.3,65.4,21.8,68.6
Urad,2019,Summer,Gujarat,13456.0,21329,1067.8,2311202.56,4978.72,1.580625,31.1,32.0,Black,7.75,238.3,100.0,114.6,61.4,Borewell,Improved,February,May,85,71.5,20.3,20.7,47.5,37.0,70.8
Sugarcane,2001,Whole Year,Uttar Pradesh,2034883.0,117981573,849.9,207822600.8,529069.58,52.52608696,26.6,47.7,Loamy,6.22,149.6,53.7,65.9,47.9,Borewell,Improved,February,January,336,56.3,24.9,30.0,39.9,26.5,60.8
Sesamum,2003,Kharif,Mizoram,3285.0,2019,2499.5,325149.3,788.4,0.615,28.4,95.0,Loamy,6.39,103.6,42.3,59.6,66.3,Rainfed,HYV,July,October,90,34.1,35.1,31.1,44.7,23.4,49.5
Sugarcane,2013,Whole Year,Assam,29083.0,1075171,1797.7,4202202.67,7852.41,36.24925926,26.8,89.9,Alluvial,7.17,156.7,65.8,97.4,76.4,Flood,Co 86032,January,January,347,60.0,32.2,44.1,84.4,26.8,58.5
Ragi,1999,Kharif,Karnataka,851097.0,1319099,1203.8,90326924.61,229796.19,1.254,25.7,65.9,Red,5.85,123.3,42.4,47.1,59.2,Canal,Hybrid,June,October,118,44.1,31.9,31.0,53.5,10.4,67.2
Turmeric,2014,Kharif,Jammu and Kashmir,12.0,12,1278.4,1811.52,3.96,1.04,20.6,67.9,Sandy Loam,6.08,173.4,78.8,78.1,51.1,Canal,Salem,June,February,254,60.8,34.2,25.6,65.7,39.9,56.8
Maize,2016,Rabi,Maharashtra,344895.0,1084699,1151.1,52855158.75,120713.25,2.637857143,23.2,50.4,Black,7.01,183.1,82.6,71.8,63.5,Borewell,Local,November,February,103,65.2,21.4,28.6,30.8,42.7,53.7
Sesamum,2019,Kharif,Punjab,2600.0,1000,653.2,446576.0,962.0,0.39875,28.5,44.3,Alluvial,6.6,236.5,88.4,106.9,55.8,Borewell,High Yielding Variety,June,September,88,75.5,17.5,25.1,35.7,5.3,70.9
Ragi,2009,Rabi,Karnataka,27562.0,44924,1321.0,4294710.84,4685.54,1.834285714,21.6,55.2,Black,7.76,200.9,72.7,102.7,64.1,Borewell,HYV,December,April,114,57.4,7.2,42.8,61.2,33.4,63.6
Maize,2014,Rabi,Manipur,6600.0,15400,987.5,996336.0,2178.0,2.334444444,20.0,73.7,Alluvial,6.59,202.6,69.6,109.7,47.7,Rainfed,HQPM,October,February,107,69.8,28.5,30.0,26.6,69.5,40.3
Castor seed,1998,Kharif,Assam,1728.0,708,2354.4,170726.4,501.12,0.411428571,28.7,90.7,Laterite,5.47,74.5,32.0,42.3,56.1,Rainfed,Hybrid,May,November,169,41.6,25.8,32.3,47.3,23.1,65.6
Small millets,2019,Rabi,Jammu and Kashmir,7.0,5,1324.1,1202.32,2.59,0.7,14.2,38.6,Loamy,6.7,259.1,93.9,116.4,57.0,Canal,High Yielding Variety,December,March,86,89.7,30.4,12.9,60.7,42.6,70.1
Sweet potato,2019,Whole Year,Tamil Nadu,585.0,14383,910.1,100479.6,216.45,23.39619048,26.0,69.1,Red,5.89,244.1,92.8,106.4,55.3,Canal,Local,January,May,119,61.0,18.7,27.2,61.8,8.7,65.1
Arhar/Tur,2010,Kharif,Manipur,490.0,508,2160.5,81393.9,117.6,1.028888889,26.3,90.5,Red,6.59,233.0,82.1,102.9,77.8,Canal,Hybrid,July,January,167,87.7,25.5,46.4,84.0,24.0,87.8
Urad,2010,Autumn,Odisha,35912.0,8515,1291.9,5965342.32,8618.88,0.230909091,26.3,69.0,Alluvial,7.47,247.0,85.4,100.0,44.4,Borewell,HYV,August,October,68,70.8,34.3,20.2,56.8,36.9,63.5
Groundnut,2003,Kharif,Uttarakhand,1273.0,1267,1734.3,126001.54,305.52,0.955,23.0,70.2,Black,8.09,147.0,44.8,52.8,60.1,Rainfed,Local,July,November,117,37.1,29.9,24.8,43.7,48.4,39.8
Coriander,2007,Rabi,Uttar Pradesh,5594.0,3241,672.9,746239.6,895.04,0.577931034,18.5,50.6,Loamy,6.53,190.6,62.6,61.0,42.0,Canal,Improved,November,March,110,60.2,13.3,19.8,33.8,18.6,59.8
Small millets,2008,Rabi,West Bengal,1500.0,1751,1560.1,214560.0,135.0,1.27,21.9,74.2,Alluvial,6.51,190.3,68.4,71.4,53.7,Rainfed,Hybrid,November,February,93,62.4,15.3,32.2,46.6,39.6,70.7
Groundnut,2017,Kharif,Uttar Pradesh,87922.0,89075,652.1,13842439.68,33410.36,1.076440678,30.7,67.1,Sandy Loam,6.29,189.6,65.2,83.7,33.9,Canal,JL 24,May,September,121,59.5,23.2,14.7,37.4,54.5,55.1
Urad,2010,Kharif,Haryana,1387.0,700,639.2,230394.57,332.88,0.351,32.0,57.3,Alluvial,6.99,270.7,89.0,106.3,39.5,Sprinkler,HYV,July,October,82,74.5,27.3,17.9,32.1,27.8,60.4
Sunflower,2001,Kharif,Odisha,460.0,200,1672.5,46979.8,119.6,0.568,26.5,80.2,Loamy,6.23,137.6,41.2,74.5,47.8,Rainfed,KBSH,June,September,95,52.6,29.7,19.2,45.3,13.6,62.8
Rice,2015,Kharif,Gujarat,741042.0,1584355,584.3,117017942.2,244543.86,1.895238095,30.1,45.0,Sandy Loam,6.01,195.1,80.7,88.7,43.3,Flood,Local,July,November,129,64.8,17.4,28.6,34.6,52.4,52.5
Maize,2011,Summer,Gujarat,22800.0,47300,890.5,3819456.0,7524.0,1.792857143,33.6,52.2,Loamy,6.19,235.9,91.2,122.9,41.2,Borewell,Hybrid,April,August,109,64.8,30.2,27.9,35.5,55.5,49.4
Soyabean,2000,Kharif,Sikkim,4150.0,3410,2504.8,407405.5,1079.0,0.795,19.5,94.4,Loamy,6.97,114.5,24.8,37.0,57.3,Rainfed,HYV,July,October,97,48.3,37.8,46.5,45.2,51.6,42.5
Rapeseed &Mustard,2018,Rabi,Chhattisgarh,38828.0,18958,1515.5,6297901.6,13589.8,0.468888889,20.3,60.3,Red,6.09,197.3,67.4,92.3,46.4,Drip,Local,November,March,122,52.4,19.0,21.7,62.8,20.6,67.0
other oilseeds,2007,Rabi,Jammu and Kashmir,8.0,4,1042.2,1067.2,1.28,0.55,15.7,55.0,Loamy,6.39,159.2,72.8,74.8,34.9,Rainfed,Local,November,February,100,57.3,18.1,23.4,15.4,48.4,42.6
Maize,2011,Rabi,Gujarat,106100.0,199900,890.5,17773872.0,35013.0,2.026363636,23.4,40.3,Black,7.56,280.9,96.1,119.6,47.1,Borewell,Hybrid,October,January,100,70.5,30.5,24.2,35.1,38.4,55.5
Soyabean,2001,Kharif,Madhya Pradesh,4435868.0,3726129,955.0,453035198.8,1153325.68,0.862222222,29.9,71.2,Black,7.05,145.9,39.2,45.2,47.3,Borewell,Hybrid,July,October,92,43.7,19.5,44.7,39.8,40.9,47.3
Arecanut,2017,Kharif,Andhra Pradesh,697.0,4369,868.2,109735.68,264.86,5.5825,27.4,62.2,Red,5.92,210.3,79.2,80.8,43.6,Canal,Mangala,July,July,353,57.4,31.2,45.4,29.5,22.2,46.1
Arhar/Tur,2015,Kharif,Bihar,23543.0,37134,874.0,3717675.13,7769.19,1.595833333,29.3,73.1,Alluvial,6.79,236.2,89.3,97.7,54.1,Borewell,ICPL 87,June,December,167,67.2,33.1,38.2,25.4,26.1,64.8
Rapeseed &Mustard,2011,Rabi,Karnataka,4209.0,1204,1178.986364,705091.68,1388.97,0.295,17.6,41.3,Loamy,6.28,224.5,84.8,120.4,67.4,Drip,Hybrid,December,April,111,69.4,14.3,33.2,55.6,13.1,68.3
Rapeseed &Mustard,2001,Rabi,Jammu and Kashmir,71494.0,39219,953.8,7301682.22,18588.44,0.586666667,10.1,48.5,Alluvial,6.62,166.3,47.9,57.1,43.9,Rainfed,Local,December,April,128,55.7,42.3,26.2,11.9,54.4,44.9
Linseed,2015,Rabi,Meghalaya,91.0,53,3870.8,14369.81,30.03,0.6,14.8,77.6,Loamy,7.05,221.5,79.0,103.8,49.7,Rainfed,HYV,October,February,115,62.6,20.4,6.5,44.8,39.7,57.5
Masoor,2017,Rabi,Bihar,138162.0,147492,1112.0,21752225.28,52501.56,0.889473684,18.9,67.8,Alluvial,7.43,210.0,88.4,106.6,50.0,Borewell,HYV,November,March,108,58.7,26.0,9.4,57.5,19.4,67.5
Barley,2011,Rabi,Bihar,10823.0,16690,1097.1,1813068.96,3571.59,1.438125,20.1,71.3,Alluvial,6.57,263.9,97.6,117.7,58.5,Borewell,Hybrid,October,February,134,88.4,4.6,21.9,48.8,29.9,64.9
Wheat,2003,Rabi,West Bengal,425721.0,985686,1526.7,42137864.58,102173.04,2.194444444,17.7,75.8,Alluvial,6.67,116.5,60.7,65.8,76.8,Canal,Local,October,February,126,63.0,17.2,26.7,62.7,10.9,73.6
Rapeseed &Mustard,2019,Rabi,Andhra Pradesh,1882.0,912,899.2,323252.32,696.34,0.375,17.1,46.9,Red,5.62,193.5,81.2,108.0,32.7,Rainfed,Improved,October,February,124,55.6,8.9,37.7,7.6,8.9,59.5
Maize,2010,Rabi,Uttar Pradesh,5492.0,16498,742.6,912276.12,1318.08,3.0012,22.0,41.3,Loamy,7.09,190.0,89.4,99.4,37.2,Rainfed,HQPM,November,March,114,65.7,26.6,30.2,0.0,72.3,43.5
Urad,2007,Kharif,Puducherry,57.0,39,1434.5875,7603.8,9.12,0.68,27.8,84.3,Red,5.87,134.7,40.3,57.0,64.7,Canal,Local,May,August,76,55.4,22.5,22.0,66.1,18.5,71.2
Jute,2015,Kharif,Madhya Pradesh,6000.0,6000,1000.7,947460.0,1980.0,1.0,29.8,71.4,Red,5.6,189.9,69.5,89.9,55.6,Borewell,Improved,May,September,106,61.2,7.7,43.7,49.3,24.1,77.4
Sugarcane,2012,Whole Year,Kerala,1742.0,165720,2187.6,262693.6,540.02,48.69090909,30.2,84.5,Black,7.46,187.0,81.2,86.0,63.4,Canal,Co 86032,January,January,354,64.7,38.0,42.7,78.4,43.9,78.4
Potato,2019,Rabi,Uttar Pradesh,552382.0,14869966,814.5,94877132.32,204381.34,25.4704,18.0,54.7,Sandy Loam,6.08,215.8,84.1,100.4,44.4,Borewell,Improved,November,March,108,70.8,22.7,34.3,32.3,19.0,50.6
Moong(Green Gram),2014,Kharif,Himachal Pradesh,222.0,97,1019.9,33513.12,73.26,0.485714286,25.6,56.3,Loamy,6.87,188.7,67.7,95.4,49.4,Canal,Local,June,August,69,64.8,34.2,27.8,60.2,27.4,53.6
Groundnut,2001,Kharif,Punjab,400.0,400,479.3,40852.0,104.0,1.0,27.6,55.3,Alluvial,6.88,163.6,66.9,52.9,36.2,Canal,Local,June,October,120,60.5,40.4,37.9,37.3,15.8,60.0
Sesamum,2008,Summer,West Bengal,200506.0,131812,1560.1,28680378.24,18045.54,0.773529412,32.0,72.2,Laterite,5.58,116.9,50.5,70.5,52.4,Rainfed,Improved,March,June,87,33.7,21.1,28.3,37.5,31.9,56.7
Rice,2000,Summer,Karnataka,310892.0,947744,1213.3,30520267.64,80831.92,2.751304348,30.9,63.2,Alluvial,7.13,131.5,49.3,71.6,54.5,Borewell,Swarna,March,July,118,49.9,29.9,47.2,49.9,38.9,44.8
Groundnut,2008,Kharif,Uttar Pradesh,94534.0,67482,891.6,13522143.36,8508.06,0.74627451,26.7,69.1,Alluvial,7.09,186.1,77.7,98.2,58.9,Canal,Hybrid,May,September,125,67.8,22.8,24.0,41.3,21.8,65.4
Rice,1997,Kharif,Maharashtra,1339000.0,2330000,1156.1,127432630.0,415090.0,8.778275862,25.7,74.2,Black,7.73,113.3,46.4,37.1,60.3,Drip,Local,June,October,110,44.3,24.1,41.0,48.2,31.1,46.8
Small millets,2018,Kharif,Chhattisgarh,76737.0,26264,1515.5,12446741.4,26857.95,0.331153846,27.1,70.9,Red,5.96,227.5,81.0,114.0,47.8,Rainfed,Improved,May,August,104,63.2,19.2,18.9,40.3,18.7,56.0
Rapeseed &Mustard,2004,Rabi,Meghalaya,7222.0,4797,4767.9,782431.48,1516.62,0.64,14.9,92.7,Laterite,5.43,103.9,51.3,56.3,79.7,Canal,HYV,December,April,127,51.6,38.2,28.8,78.9,13.7,62.9
Bajra,2004,Kharif,Odisha,3155.0,1609,1290.4,341812.7,662.55,0.499230769,29.1,88.2,Laterite,5.98,93.6,56.2,46.1,46.6,Rainfed,Local,June,September,78,38.7,33.8,40.3,30.1,31.1,45.7
Cotton(lint),2005,Kharif,West Bengal,1506.0,3857,1650.1,180599.52,316.26,2.22,30.7,90.1,Alluvial,6.76,188.9,49.7,54.1,60.0,Borewell,Local,June,December,170,63.4,60.8,47.6,63.3,23.4,59.3
Other Kharif pulses,1998,Kharif,Gujarat,12800.0,5700,775.6,1264640.0,3712.0,0.395714286,33.7,57.6,Loamy,6.02,167.3,46.7,67.9,45.9,Drip,Improved,July,November,112,60.8,13.2,30.8,30.5,53.5,52.6
Rapeseed &Mustard,1997,Rabi,Gujarat,345600.0,350000,798.9,32890752.0,107136.0,1.064375,16.2,45.5,Black,7.46,146.1,38.0,48.4,43.4,Rainfed,High Yielding Variety,November,March,119,55.9,8.4,26.3,5.6,5.8,56.4
Peas & beans (Pulses),2016,Kharif,Nagaland,2350.0,3190,1959.8,360137.5,822.5,1.354,21.3,91.8,Laterite,6.01,149.3,57.9,91.9,59.3,Rainfed,Improved,May,August,101,50.4,23.5,35.5,48.3,40.5,48.0
Tobacco,2018,Summer,Uttar Pradesh,1025.0,2472,792.8,166255.0,358.75,2.37875,28.9,43.1,Loamy,6.46,223.6,88.0,105.6,39.5,Borewell,FCV,March,July,125,66.9,27.7,39.7,31.0,47.6,61.2
Urad,2011,Kharif,Uttar Pradesh,507317.0,339225,777.4,84985743.84,167414.61,0.659166667,30.8,68.7,Black,7.08,247.6,80.6,100.1,36.5,Rainfed,Local,June,September,77,69.3,34.4,31.0,23.4,31.2,55.3
Onion,2004,Whole Year,Bihar,14115.0,106528,1147.8,1529219.1,2964.15,7.463684211,24.8,72.3,Alluvial,7.08,153.6,45.7,76.4,42.5,Rainfed,Hybrid,February,July,141,50.5,24.0,30.8,22.2,51.0,48.3
Mesta,2004,Kharif,Bihar,15549.0,124048,1147.8,1684578.66,3265.29,7.949090909,30.9,80.4,Sandy Loam,7.09,137.5,38.7,59.8,51.6,Canal,Local,June,October,109,42.7,13.9,47.5,55.4,31.6,53.3
Other Kharif pulses,2014,Kharif,Nagaland,10460.0,12520,1333.3,1579041.6,3451.8,1.174,23.6,84.5,Red,5.63,175.2,68.7,55.0,57.2,Drip,Hybrid,July,November,108,49.8,6.3,26.0,54.6,32.8,68.8
Potato,2014,Winter,Jharkhand,21548.0,157894,1156.6,3252886.08,7110.84,7.390869565,19.6,56.9,Sandy Loam,6.89,200.0,49.6,90.2,59.0,Borewell,Kufri Jyoti,October,February,106,74.3,27.0,44.0,52.6,18.6,65.7
Maize,2005,Kharif,Haryana,17469.0,36000,516.9,2094882.48,3668.49,0.4965,30.0,47.2,Alluvial,7.22,167.3,60.2,68.5,44.7,Borewell,Local,May,August,100,54.1,43.5,27.6,39.0,59.4,55.4
Sweet potato,2014,Kharif,Puducherry,4.0,60,1330.0,603.84,1.32,15.0,28.2,84.8,Sandy Loam,6.68,169.9,63.9,104.7,62.5,Canal,Local,May,September,112,64.0,9.8,41.2,66.0,37.9,66.1
Sugarcane,2004,Whole Year,Nagaland,2770.0,138750,1711.5,300101.8,581.7,33.995,24.9,79.5,Alluvial,7.17,162.1,55.7,70.0,63.3,Canal,Local,January,December,324,61.5,33.9,43.4,68.9,34.6,57.3
